Name;Insertions;Deletions;Fitness
ER;0;0;1.00
ES;0;5;0.95
ET;0;0;1.00
EU;0;0;1.00
EV;0;0;1.00
EW;0;0;1.00
EX;0;3;0.93
EY;1;0;0.96
EZ;1;0;0.92
F;0;0;1.00
FA;2;0;0.89
FAA;0;0;1.00
FB;0;0;1.00
FBA;2;0;0.91
FC;2;0;0.88
FCA;0;0;1.00
FD;0;0;1.00
FDA;0;0;1.00
FE;2;0;0.94
FEA;2;0;0.91
FF;0;0;1.00
FFA;4;0;0.60
FG;0;0;1.00
FGA;0;0;1.00
FH;0;0;1.00
FHA;0;0;1.00
FI;0;0;1.00
FIA;1;1;0.92
FJ;1;0;0.96
FJA;0;0;1.00
FK;0;0;1.00
FKA;1;0;0.96
FL;0;0;1.00
FLA;3;0;0.77
FM;2;1;0.91
FMA;3;2;0.81
FN;0;3;0.93
FNA;0;0;1.00
FO;1;5;0.88
FP;1;0;0.92
FQ;3;0;0.84
FR;0;0;1.00
FS;1;0;0.92
FT;0;6;0.91
FU;1;0;0.96
FV;0;0;1.00
FW;1;0;0.98
FX;0;0;1.00
FY;1;0;0.97
FZ;0;0;1.00
G;0;0;1.00
GA;0;0;1.00
GAA;0;0;1.00
GB;2;1;0.89
GBA;0;0;1.00
GC;0;0;1.00
GCA;0;0;1.00
GD;0;0;1.00
GDA;2;0;0.90
GE;0;0;1.00
GEA;0;0;1.00
GF;0;7;0.94
GFA;0;0;1.00
GG;1;0;0.97
GGA;0;0;1.00
GH;2;0;0.89
GHA;0;0;1.00
GI;0;1;0.96
GIA;0;0;1.00
GJ;0;2;0.95
GJA;0;0;1.00
GK;0;6;0.96
GKA;1;0;0.92
GL;0;0;1.00
GLA;0;0;1.00
GM;0;0;1.00
GMA;2;0;0.93
GN;0;4;0.95
GNA;0;4;0.91
GO;0;1;0.97
GP;2;0;0.91
GQ;0;0;1.00
GR;2;0;0.83
GS;2;0;0.94
GT;1;0;0.98
GU;1;0;0.97
GV;0;0;1.00
GW;2;2;0.82
GX;1;1;0.93
GY;1;0;0.96
GZ;2;0;0.83
H;1;0;0.96
HA;2;0;0.92
HAA;0;1;0.98
HB;0;0;1.00
HBA;0;0;1.00
HC;2;0;0.83
HCA;0;0;1.00
HD;0;7;0.88
HDA;0;0;1.00
HE;0;0;1.00
HEA;0;0;1.00
HF;0;0;1.00
HFA;0;0;1.00
HG;0;0;1.00
HGA;0;0;1.00
HH;0;0;1.00
HHA;0;0;1.00
HI;1;0;0.95
HIA;0;0;1.00
HJ;0;0;1.00
HJA;0;0;1.00
HK;0;0;1.00
HKA;0;0;1.00
HL;0;0;1.00
HLA;0;0;1.00
HM;2;2;0.87
HMA;4;0;0.60
HN;0;0;1.00
HNA;0;4;0.93
HO;0;0;1.00
HP;1;0;0.96
HQ;0;0;1.00
HR;0;0;1.00
HS;0;7;0.92
HT;0;0;1.00
HU;4;0;0.60
HV;2;1;0.91
HW;2;1;0.77
HX;0;0;1.00
HY;0;0;1.00
HZ;0;1;0.98
I;0;0;1.00
IA;0;1;0.93
IAA;1;0;0.95
IB;2;1;0.90
IBA;0;0;1.00
IC;1;1;0.92
ICA;2;0;0.83
ID;4;0;0.60
IDA;0;0;1.00
IE;2;0;0.88
IEA;0;1;0.96
IF;0;2;0.94
IFA;0;0;1.00
IG;2;0;0.95
IGA;0;0;1.00
IH;0;1;0.97
IHA;0;0;1.00
II;1;0;0.96
IIA;0;0;1.00
IJ;0;1;0.97
IJA;0;0;1.00
IK;1;0;0.92
IKA;2;0;0.89
IL;0;0;1.00
ILA;0;0;1.00
IM;1;4;0.93
IMA;3;0;0.77
IN;0;0;1.00
INA;4;0;0.60
IO;0;0;1.00
IP;1;0;0.97
IQ;0;0;1.00
IR;0;1;0.94
IS;0;0;1.00
IT;0;0;1.00
IU;0;0;1.00
IV;1;0;0.94
IW;0;1;0.96
IX;0;0;1.00
IY;0;0;1.00
IZ;2;0;0.88
J;0;0;1.00
JA;1;1;0.93
JAA;2;0;0.96
JB;0;0;1.00
JBA;2;0;0.89
JC;0;0;1.00
JCA;0;0;1.00
JD;2;1;0.90
JDA;2;0;0.89
JE;0;0;1.00
JEA;0;0;1.00
JF;0;0;1.00
JFA;2;0;0.89
JG;0;0;1.00
JGA;1;0;0.94
JH;1;1;0.92
JHA;3;0;0.82
JI;0;0;1.00
JIA;1;2;0.82
JJ;0;0;1.00
JJA;1;0;0.95
JK;0;9;0.83
JKA;0;0;1.00
JL;0;0;1.00
JLA;1;0;0.98
JM;1;0;0.96
JMA;1;1;0.94
JN;1;0;0.96
JNA;4;0;0.60
JO;0;0;1.00
JP;2;0;0.83
JQ;1;0;0.97
JR;0;0;1.00
JS;1;0;0.99
JT;0;0;1.00
JU;2;1;0.91
JV;0;0;1.00
JW;0;0;1.00
JX;0;2;0.94
JY;1;0;0.97
JZ;0;0;1.00
K;0;0;1.00
KA;0;0;1.00
KAA;4;0;0.71
KB;0;0;1.00
KBA;0;0;1.00
KC;0;0;1.00
KCA;1;1;0.91
KD;1;2;0.91
KDA;4;0;0.60
KE;0;0;1.00
KEA;0;0;1.00
KF;0;0;1.00
KFA;0;0;1.00
KG;0;2;0.93
KGA;2;0;0.86
KH;0;0;1.00
KHA;0;1;0.95
KI;1;0;0.97
KIA;0;0;1.00
KJ;0;0;1.00
KJA;4;2;0.50
KK;1;0;0.97
KKA;0;0;1.00
KL;3;0;0.77
KLA;0;0;1.00
KM;0;50;0.83
KMA;0;0;1.00
KN;0;2;0.92
KNA;0;0;1.00
KO;1;0;0.97
KP;2;1;0.86
KQ;2;0;0.92
KR;0;0;1.00
KS;0;0;1.00
KT;0;0;1.00
KU;0;0;1.00
KV;3;0;0.84
KW;0;0;1.00
KX;3;6;0.84
KY;2;0;0.83
KZ;0;2;0.94
L;0;0;1.00
LA;2;0;0.83
LAA;0;0;1.00
LB;1;0;0.97
LBA;0;0;1.00
LC;0;0;1.00
LCA;0;0;1.00
LD;0;0;1.00
LDA;0;0;1.00
LE;0;0;1.00
LEA;0;2;0.97
LF;2;0;0.83
LFA;0;0;1.00
LG;0;9;0.88
LGA;3;1;0.80
LH;2;0;0.94
LHA;0;0;1.00
LI;0;0;1.00
LIA;0;2;0.97
LJ;0;3;0.95
LJA;0;0;1.00
LK;0;0;1.00
LKA;0;0;1.00
LL;0;0;1.00
LLA;2;0;0.83
LM;0;3;0.96
LMA;3;0;0.80
LN;0;0;1.00
LNA;4;0;0.60
LO;0;0;1.00
LP;1;1;0.95
LQ;0;1;0.98
LR;0;0;1.00
LS;0;0;1.00
LT;1;5;0.89
LU;0;0;1.00
LV;2;0;0.95
LW;0;2;0.93
LX;0;1;0.96
LY;4;0;0.60
LZ;2;4;0.85
M;4;0;0.60
MA;0;0;1.00
MAA;1;0;0.97
MB;4;0;0.60
MBA;0;0;1.00
MC;0;0;1.00
MCA;2;0;0.83
MD;1;0;0.97
MDA;0;1;0.96
ME;1;0;0.97
MEA;0;0;1.00
MF;4;0;0.60
MFA;1;0;0.96
MG;2;0;0.86
MGA;0;0;1.00
MH;2;0;0.83
MHA;0;0;1.00
MI;0;0;1.00
MIA;0;0;1.00
MJ;1;0;0.96
MJA;1;0;0.94
MK;0;1;0.98
MKA;0;11;0.88
ML;0;2;0.96
MLA;2;0;0.83
MM;2;0;0.95
MMA;2;0;0.89
MN;1;6;0.89
MO;2;0;0.91
MP;0;2;0.95
MQ;0;0;1.00
MR;0;1;0.96
MS;0;1;0.97
MT;2;0;0.92
MU;0;0;1.00
MV;1;0;0.97
MW;0;1;0.98
MX;0;0;1.00
MY;1;0;0.92
MZ;0;0;1.00
N;0;0;1.00
NA;0;0;1.00
NAA;4;0;0.60
NB;0;0;1.00
NBA;2;0;0.83
